Accession,Organism_Name,GenBank_RefSeq,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Surveillance_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject
ON444497,Severe acute respiratory syndrome coronavirus 2,GenBank,"Levasseur,A.","Aix Marseille University, Aix Marseille University (AMU) - Faculty of Medicine - MEPHI - IHU - APHM",France,09-05-2022,BA.1.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,IHUCOVID-066238_Nova1,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29666,partial,,,,France,France,,Homo sapiens,,07-02-2022,,
OL426081,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,10-11-2021,AY.25,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,PA-CDC-ASC210345060,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29812,partial,,,,USA: Pennsylvania,USA,PA,Homo sapiens,oronasopharynx,10-10-2021,SAMN22951321,PRJNA731148
OY280723,Severe acute respiratory syndrome coronavirus 2,GenBank,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,05-07-2023,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29790,partial,,,,Germany:Europe/Germany/Rhineland-Palatinate,Germany,,Homo sapiens,,09-02-2022,SAMEA13729416,PRJEB44987
OW353120,Severe acute respiratory syndrome coronavirus 2,GenBank,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,03-04-2022,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29850,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,19-03-2022,SAMEA13800430,PRJEB37886
OV636832,Severe acute respiratory syndrome coronavirus 2,GenBank,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,21-01-2022,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,18-12-2021,SAMEA12079671,PRJEB37886
OP554017,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,29-09-2022,BA.5.1.10,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-STM-47WGS25YJ,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29844,complete,,,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,16-09-2022,SAMN31080757,PRJNA720050
ON313071,Severe acute respiratory syndrome coronavirus 2,GenBank,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,21-04-2022,BA.1.15.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,UT-UPHL-220304119815,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29772,complete,,,,USA,USA,,Homo sapiens,,09-02-2022,SAMN26563108,PRJNA614995
OK527125,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Bixby,C., Wang,Y., Schultz,J., Goswami,C., Hager,R., Grimwood,R., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,15-10-2021,AY.103,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,MN-CDC-IBX487538242321,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29805,partial,,,,USA: Minnesota,USA,MN,Homo sapiens,oronasopharynx,29-09-2021,SAMN22256209,PRJNA731149
OX951599,Severe acute respiratory syndrome coronavirus 2,GenBank,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,21-06-2023,BA.2.9,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),28578,partial,,,,Germany:Europe/Germany/Brandenburg,Germany,,Homo sapiens,,07-06-2022,SAMEA113618416,PRJEB44987
OV770983,Severe acute respiratory syndrome coronavirus 2,GenBank,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,30-01-2022,BA.1.1.15,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,19-01-2022,SAMEA12607899,PRJEB37886
OU351358,Severe acute respiratory syndrome coronavirus 2,GenBank,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,06-07-2021,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,15-06-2021,SAMEA9286051,PRJEB37886
OL418063,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,09-11-2021,AY.121,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,NY-CDC-FG-162944,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29812,partial,,,,USA: New York,USA,NY,Homo sapiens,,29-10-2021,,
ON175299,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,07-04-2022,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-STM-YAENJTMS4,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,complete,,,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,25-03-2022,SAMN27396440,PRJNA720050
OX854829,Severe acute respiratory syndrome coronavirus 2,GenBank,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,19-06-2023,BA.1.17.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29751,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,02-01-2022,SAMEA12699675,PRJEB37886
OU137845,Severe acute respiratory syndrome coronavirus 2,GenBank,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,09-06-2021,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29799,partial,,,,Germany:Europe/Germany,Germany,,Homo sapiens,,13-04-2021,SAMEA9060259,PRJEB44987
OQ194552,Severe acute respiratory syndrome coronavirus 2,GenBank,"Matzinger,S.R., Bankers,L., Rossheim,A., Hetherington-Rauth,M.C., Smith,A., Bogale,H.N., Baird,S., Polanco,D.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,07-01-2023,BQ.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,CO-CDPHE-2103729987,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29718,partial,,,,USA,USA,,Homo sapiens,,22-11-2022,SAMN32578089,PRJNA686984
OU400648,Severe acute respiratory syndrome coronavirus 2,GenBank,"Lighthouse Laboratory,Plymouth., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,18-07-2021,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,29-06-2021,SAMEA9366318,PRJEB37886
OM844650,Severe acute respiratory syndrome coronavirus 2,GenBank,"Bankers,L., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,27-02-2022,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,CO-CDPHE-2102809353,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29750,partial,,,,USA,USA,,Homo sapiens,,29-01-2022,SAMN26279421,PRJNA686984
OX853732,Severe acute respiratory syndrome coronavirus 2,GenBank,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,19-06-2023,BA.5.1.12,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29844,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,27-10-2022,SAMEA113043663,PRJEB37886
OW646378,Severe acute respiratory syndrome coronavirus 2,GenBank,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,01-05-2022,AY.4.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,Denmark:Hovedstaden,Denmark,,Homo sapiens,,22-08-2021,SAMEA14255323,PRJEB49401
PV017432,Severe acute respiratory syndrome coronavirus 2,GenBank,"Thornton,N.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,24-01-2025,XEC,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,NY-PRL-250122_82B05,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29759,complete,,,,USA: New York,USA,NY,Homo sapiens,oronasopharynx,11-01-2025,,
OK317097,Severe acute respiratory syndrome coronavirus 2,GenBank,"Bodnar,L., Pachucki,R., Verma,S.K., Pugliese,M.-M., Ali,M., Filippo,C.S., Deverell,J., Woell,D., Jeong,B.S.","NJDOH PHEL-Virology's shared submissions, PHEL- Virology",USA,28-09-2021,AY.3,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,NJ-PHEL-V21015357,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29785,partial,,,,USA,USA,,Homo sapiens,,10-09-2021,SAMN21878906,PRJNA708324
OP022791,Severe acute respiratory syndrome coronavirus 2,GenBank,"Schmedes,S., Tarigopula,N., Dong,Y.","FLDOH, BPHL",USA,20-07-2022,BA.5.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,FL-BPHL-10776,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29743,complete,,,,USA: FL,USA,FL,Homo sapiens,,31-05-2022,SAMN29844439,PRJNA630714
OQ850635,Severe acute respiratory syndrome coronavirus 2,GenBank,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,20-04-2023,XBB.1.5.20,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,UT-UPHL-230324732728,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29755,partial,,,,USA,USA,,Homo sapiens,,13-03-2023,SAMN34255566,PRJNA614995
OP065429,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,26-07-2022,BA.4.6,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,SC-CDC-LC0780300,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29679,complete,,,,USA: South Carolina,USA,SC,Homo sapiens,oronasopharynx,13-07-2022,SAMN29964357,PRJNA716984
OL387457,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,08-11-2021,AY.3,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,MI-CDC-ASC210336330,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29823,partial,,,,USA: Michigan,USA,MI,Homo sapiens,oronasopharynx,06-10-2021,SAMN22798347,PRJNA731148
OK140248,Severe acute respiratory syndrome coronavirus 2,GenBank,"Gohl,D.M., Garbe,J., Kuriger-Laber,J., Dirkx,C.","University of Minnesota Genomics Center, Academic Health Center",USA,15-09-2021,AY.44,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,MN-UMGC-13514,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,partial,,,,USA: Minnesota,USA,MN,Homo sapiens,,28-08-2021,,
OM137725,Severe acute respiratory syndrome coronavirus 2,GenBank,"Smith,E.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,05-01-2022,AY.44,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDPH-3000284399,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29858,complete,,,,USA,USA,,Homo sapiens,,13-12-2021,SAMN24617093,PRJNA750736
ON708059,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,08-06-2022,BA.2.12.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-LC0669067,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29726,partial,,,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,20-05-2022,SAMN28910039,PRJNA716984
OZ017459,Severe acute respiratory syndrome coronavirus 2,GenBank,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,21-02-2024,JN.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29853,complete,,,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,03-02-2024,SAMEA115331461,PRJEB37886
OM139970,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,05-01-2022,BA.1.18,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-STM-ENHEA32Q9,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29863,complete,,,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,21-12-2021,SAMN24620945,PRJNA720050
OR905453,Severe acute respiratory syndrome coronavirus 2,GenBank,"Andersen,K.","The Scripps Research Institute, Immunology and Microbiology",USA,05-12-2023,B.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,SEARCH-3678-SAN,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29886,complete,,,,USA,USA,,Homo sapiens,oronasopharynx,28-09-2020,SAMN21988343,PRJNA612578
OM878703,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,02-03-2022,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-FG-281532,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29688,partial,,,,USA: California,USA,CA,Homo sapiens,oronasopharynx,15-02-2022,SAMN26323682,PRJNA731152
OZ057013,Severe acute respiratory syndrome coronavirus 2,GenBank,"Danish Covid-19 Genome,Consortium.","Afsnit 445, Hvidovre Hospital, Kettegard Alle 30, 2650 Hvidovre",Denmark,17-05-2024,BA.5.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29626,partial,,,,Denmark,Denmark,,Homo sapiens,,17-10-2022,SAMEA115612241,PRJEB71997
OX195525,Severe acute respiratory syndrome coronavirus 2,GenBank,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,09-07-2022,BA.1.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,Denmark:Hovedstaden,Denmark,,Homo sapiens,,25-02-2022,SAMEA110296385,PRJEB49401
OV848615,Severe acute respiratory syndrome coronavirus 2,GenBank,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,13-02-2022,AY.126,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,Denmark:Hovedstaden,Denmark,,Homo sapiens,,10-11-2021,SAMEA12908961,PRJEB49401
OL903880,Severe acute respiratory syndrome coronavirus 2,GenBank,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,18-12-2021,AY.35,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,VT-CDCBI-CRSP_4TE2RP43KDXIPEHB,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29850,partial,,,,USA: Vermont,USA,VT,Homo sapiens,,08-12-2021,SAMN24149319,PRJNA715749
MZ928085,Severe acute respiratory syndrome coronavirus 2,GenBank,"Gohl,D.M., Garbe,J., Kuriger-Laber,J., Dirkx,C.","University of Minnesota Genomics Center, Academic Health Center",USA,26-08-2021,AY.3,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,AR-UMGC-9766,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29775,partial,,,,USA: Arkansas,USA,AR,Homo sapiens,,05-08-2021,,
OL761374,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,08-12-2021,AY.103,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,MI-CDC-ASC210483112,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29810,partial,,,,USA: Michigan,USA,MI,Homo sapiens,,18-11-2021,SAMN23715480,PRJNA731148
PP036720,Severe acute respiratory syndrome coronavirus 2,GenBank,"Matzinger,S.R., Bankers,L., Rossheim,A., Hetherington-Rauth,M.C., Smith,A., Bogale,H.N., Baird,S., Polanco,D.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,26-12-2023,XBB.1.16,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,CO-CDPHE-41266437,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29721,partial,,,,USA,USA,,Homo sapiens,,06-09-2023,SAMN39106851,PRJNA686984
ON617826,Severe acute respiratory syndrome coronavirus 2,GenBank,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,26-05-2022,BA.2.10.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,UT-UPHL-220519985181,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29763,partial,,,,USA,USA,,Homo sapiens,,01-05-2022,SAMN28684847,PRJNA614995
OV769982,Severe acute respiratory syndrome coronavirus 2,GenBank,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,30-01-2022,BA.1.17.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,17-01-2022,SAMEA12607757,PRJEB37886
